ope_id,school,state,zip_code,school_type,dl_sub_num,dl_sub_dollars,unsub_ug_num,unsub_ug_dollars,unsub_grad_num,unsub_grad_dollars,parent_plus_num,parent_plus_dollars,grad_plus_num,grad_plus_dollars
157300,GEORGIA SOUTHWESTERN STATE UNIVERSITY,GA,317094693,Public,1082,4144765,1073,4668759,158,2067846,114,741422,0,0
157400,GEORGIA STATE UNIVERSITY,GA,303033010,Public,15471,58798128,14710,61553357,2686,42058086,1433,14238669,393,4987906
157500,GORDON STATE COLLEGE,GA,302041762,Public,1840,6387006,1816,6754466,0,0,147,827484,0,0
157700,KENNESAW STATE UNIVERSITY,GA,301445591,Public,12648,50466454,12183,49388219,1287,19153543,1106,14498545,46,482366
157800,LAGRANGE COLLEGE,GA,302402999,Private-Nonprofit,538,2164595,621,2314107,82,1452167,110,1294860,3,45356
157900,AUGUSTA UNIVERSITY,GA,309120004,Public,2013,8108919,1976,8736795,1733,51461825,108,862720,753,14576364
158000,MERCER UNIVERSITY,GA,312070001,Private-Nonprofit,1955,8036079,2212,10293898,2378,54757040,247,2995672,1024,18481651
158100,MIDDLE GEORGIA STATE UNIVERSITY,GA,312065145,Public,2853,10358810,2623,10568564,0,0,419,3647551,0,0
158200,MOREHOUSE COLLEGE,GA,303143773,Private-Nonprofit,996,4094011,1028,3488861,0,0,656,18850409,0,0
158500,UNIVERSITY OF NORTH GEORGIA,GA,305970001,Public,4058,14230794,4650,19590326,206,2837183,312,2368395,15,152421
158600,OGLETHORPE UNIVERSITY,GA,303192737,Private-Nonprofit,332,1389825,382,1427565,0,0,98,1483950,0,0
158700,PAINE COLLEGE,GA,309013182,Private-Nonprofit,411,1535951,397,1607575,0,0,94,839166,0,0
158800,PIEDMONT COLLEGE,GA,305355644,Private-Nonprofit,667,2818839,727,3312735,645,10191046,130,1329293,1,9884
158900,REINHARDT UNIVERSITY,GA,301832900,Private-Nonprofit,502,1976084,545,1949985,48,652166,121,1513006,0,0
159000,SAVANNAH STATE UNIVERSITY,GA,314045298,Public,2954,11351478,2889,11546549,95,1731222,843,7939770,1,6491
159100,SHORTER UNIVERSITY,GA,301654298,Private-Nonprofit,508,1875656,550,2284691,38,553869,159,1717258,0,0
159200,SOUTH GEORGIA STATE COLLEGE,GA,315338104,Public,838,2626230,763,2393078,0,0,132,711189,0,0
159400,SPELMAN COLLEGE,GA,303144399,Private-Nonprofit,1265,5500480,1234,3988731,0,0,809,24815404,0,0
159600,TOCCOA FALLS COLLEGE,GA,305980001,Private-Nonprofit,368,1460036,341,1090239,0,0,90,798534,0,0
159700,TRUETT MCCONNELL UNIVERSITY,GA,305281264,Private-Nonprofit,304,1202769,339,1320301,2,18866,46,442015,0,0
159800,UNIVERSITY OF GEORGIA,GA,306024212,Public,6614,27010865,8186,34493044,3128,59871244,2512,27793036,1136,12502887
159900,VALDOSTA STATE UNIVERSITY,GA,316980001,Public,4508,17247441,4492,18294423,1219,16795515,1212,12702199,403,1567488
160000,WESLEYAN COLLEGE,GA,312104462,Private-Nonprofit,223,895088,233,953279,28,555782,36,306498,0,0
160100,UNIVERSITY OF WEST GEORGIA,GA,301180002,Public,5482,20947320,5511,21063177,1039,13432847,1354,13058207,6,54755
160200,GEORGIA COLLEGE & STATE UNIVERSITY,GA,310610490,Public,1837,7306877,2331,8676604,414,6785827,374,4565528,16,129319
160400,YOUNG HARRIS COLLEGE,GA,305824137,Private-Nonprofit,459,1876507,589,2240494,0,0,151,1632451,0,0
160500,CHAMINADE UNIVERSITY OF HONOLULU,HI,968161578,Private-Nonprofit,607,2422878,626,2777566,285,4624228,151,2277572,23,368868
160600,BRIGHAM YOUNG UNIVERSITY - HAWAII,HI,967621294,Private-Nonprofit,265,1079412,120,361656,0,0,9,49463,0,0
161000,UNIVERSITY OF HAWAII AT MANOA,HI,968222399,Public,3662,15478724,3587,14836068,1342,24072496,1453,24908393,521,7692881
161100,UNIVERSITY OF HAWAII AT HILO,HI,967204091,Public,1124,4485808,1028,4466032,397,10534409,51,686025,240,4978720
161200,HONOLULU COMMUNITY COLLEGE,HI,968174598,Public,336,990123,273,886258,0,0,0,0,0,0
161300,KAPIOLANI COMMUNITY COLLEGE,HI,968164421,Public,522,1653820,461,1861992,0,0,5,54276,0,0
161400,KAUAI COMMUNITY COLLEGE,HI,967669591,Public,104,327376,43,168028,0,0,0,0,0,0
161500,UNIVERSITY OF HAWAII MAUI COLLEGE,HI,967321644,Public,696,2311134,564,2577680,0,0,3,14744,0,0
161600,BOISE STATE UNIVERSITY,ID,837251000,Public,5710,22174280,5526,23745001,792,10876432,378,5504421,14,125410
161700,COLLEGE OF IDAHO (THE),ID,836054432,Private-Nonprofit,408,1806541,438,1495171,0,0,67,786055,0,0
161900,COLLEGE OF SOUTHERN IDAHO,ID,833033398,Public,796,2461213,294,1125533,0,0,5,32998,0,0
162000,IDAHO STATE UNIVERSITY,ID,832095377,Public,3727,14009880,3275,14867003,908,14255315,100,1123878,221,3048031
162100,LEWIS-CLARK STATE COLLEGE,ID,835012698,Public,1344,4919377,1237,5406129,0,0,48,337249,0,0
162300,NORTH IDAHO COLLEGE,ID,838142199,Public,1256,3933122,459,1941161,0,0,14,77418,0,0
162400,NORTHWEST NAZARENE UNIVERSITY,ID,836865897,Private-Nonprofit,635,2684441,660,2822441,430,6533594,84,983407,10,140781
162500,BRIGHAM YOUNG UNIVERSITY - IDAHO,ID,834601650,Private-Nonprofit,4437,16092677,2884,9101916,0,0,24,109049,0,0
162600,UNIVERSITY OF IDAHO,ID,838444291,Public,3216,13284619,3063,12449961,763,12492141,742,8482827,315,4520216
162800,AMERICAN ACADEMY OF ART,IL,606044302,Proprietary,235,982791,232,837421,0,0,84,1669229,0,0
163200,AQUINAS INSTITUTE OF THEOLOGY,MO,631083323,Private-Nonprofit,0,0,0,0,6,60709,0,0,0,0
163300,AUGUSTANA COLLEGE,IL,612012296,Private-Nonprofit,1296,5522001,1511,5063504,0,0,332,4444953,0,0
163400,AURORA UNIVERSITY,IL,605064892,Private-Nonprofit,1612,7014879,1717,7648560,823,11263887,237,2424357,15,73922
163600,SOUTHWESTERN ILLINOIS COLLEGE,IL,622215899,Public,1464,3814166,409,1263809,0,0,8,33215,0,0
163700,BETHANY THEOLOGICAL SEMINARY,IN,473744019,Private-Nonprofit,0,0,1,6000,12,130305,0,0,0,0
163800,BLACK HAWK COLLEGE,IL,612655899,Public,313,893428,291,887193,0,0,8,53705,0,0
163900,BLACKBURN UNIVERSITY,IL,626261498,Private-Nonprofit,409,1491862,425,1249463,0,0,54,370742,0,0
164000,PRAIRIE STATE COLLEGE,IL,604118226,Public,593,1946517,515,1990587,0,0,0,0,0,0
164100,BRADLEY UNIVERSITY,IL,616250002,Private-Nonprofit,2251,9836060,2434,7968515,140,2283733,688,12535012,11,169845
164300,SPOON RIVER COLLEGE,IL,615208907,Public,199,646462,154,544000,0,0,3,13175,0,0
165400,CITY COLLEGES OF CHICAGO - KENNEDY KING COLLEGE,IL,606213798,Public,0,0,1,443,0,0,0,0,0,0
165700,MIDWESTERN UNIVERSITY,IL,605151200,Private-Nonprofit,0,0,0,0,2463,86182391,0,0,2066,75466648
165900,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,IL,600643095,Private-Nonprofit,0,0,0,0,544,18521010,0,0,569,9646599
166100,CHICAGO THEOLOGICAL SEMINARY,IL,606372902,Private-Nonprofit,0,0,0,0,80,1140437,0,0,2,47675
166400,UNIVERSITY OF ST. FRANCIS,IL,604356188,Private-Nonprofit,838,3604335,958,4406312,660,8392003,263,3009759,32,638174
166500,COLUMBIA COLLEGE CHICAGO,IL,606051996,Private-Nonprofit,4547,18990611,4884,17312003,195,3381851,1757,37131237,103,1907528
166600,CONCORDIA UNIVERSITY,IL,603051499,Private-Nonprofit,864,3583905,871,3229143,575,5261287,146,1624781,2,21586
166900,DANVILLE AREA COMMUNITY COLLEGE,IL,618325199,Public,144,387444,76,260328,0,0,2,10648,0,0
167100,DEPAUL UNIVERSITY,IL,606042287,Private-Nonprofit,6748,26978042,6718,22186161,3293,47997809,2060,41725834,1037,18796351
167400,EASTERN ILLINOIS UNIVERSITY,IL,619203099,Public,2960,12454095,3346,13006684,298,3866244,578,5951944,1,5000
167500,ELGIN COMMUNITY COLLEGE,IL,601237193,Public,267,654589,296,931263,0,0,5,19817,0,0
167600,ELMHURST COLLEGE,IL,601263296,Private-Nonprofit,1166,4988980,1155,4202436,170,2633158,235,3350193,20,283585
167800,EUREKA COLLEGE,IL,615309976,Private-Nonprofit,440,1757077,481,1664998,0,0,79,802766,0,0
168100,HIGHLAND COMMUNITY COLLEGE,IL,610329341,Public,149,449953,138,427832,0,0,1,8000,0,0
168200,GARRETT-EVANGELICAL THEOLOGICAL SEMINARY,IL,602012926,Private-Nonprofit,0,0,0,0,87,1328084,0,0,7,83315
168400,GREENVILLE UNIVERSITY,IL,622461199,Private-Nonprofit,601,2567531,645,2649293,51,293577,174,1945765,0,0
168800,ILLINOIS COLLEGE,IL,626502299,Private-Nonprofit,637,2692328,691,2130273,2,5640,155,1656700,0,0
168900,ILLINOIS COLLEGE OF OPTOMETRY,IL,606163878,Private-Nonprofit,0,0,0,0,223,8869888,0,0,167,1831700
169100,ILLINOIS INSTITUTE OF TECHNOLOGY,IL,606163717,Private-Nonprofit,927,4097859,844,3192185,761,13872469,213,3713500,492,8794365
169200,ILLINOIS STATE UNIVERSITY,IL,617901000,Public,7337,30469017,8197,28247679,511,6583757,1887,28468998,2,20735
169300,NORTHEASTERN ILLINOIS UNIVERSITY,IL,606254699,Public,991,4183495,735,3429572,156,1664586,12,88056,1,2783
169400,CHICAGO STATE UNIVERSITY,IL,606281598,Public,2116,8277069,2212,12623480,810,17968112,98,1069254,400,4048142
169600,ILLINOIS WESLEYAN UNIVERSITY,IL,617022900,Private-Nonprofit,884,3940871,962,2972804,0,0,214,3883454,0,0
